name,seq_type,molecular_weight,aromacity,instability,gravy,isoelectric
6X1PA,original,9617.727899999996,0.02197802197802198,37.196703296703284,-0.21318681318681326,5.90496883392334
3GMFA,original,21888.714499999995,0.09183673469387754,33.23780612244897,-0.1739795918367346,7.1735013961792
1HZ6A,original,7360.053800000003,0.11940298507462686,-0.10000000000000105,-0.4716417910447762,5.167653465270994
6I1AA,original,40368.31110000002,0.14804469273743018,26.599189944134082,-0.3410614525139668,4.83730525970459
2XPWA,predicted,25016.176000000025,0.10628019323671498,64.70676328502415,-0.7772946859903382,5.3099214553833
7LUYA,predicted,24369.54750000003,0.12560386473429952,36.21835748792271,-0.3608695652173918,5.42320156097412
1JYOE,original,11619.429699999988,0.06862745098039216,43.38039215686273,-0.2872549019607842,9.30312633514404
4NXYA,original,19614.776199999986,0.10795454545454546,31.220511363636362,-0.24318181818181844,5.6869913101196286
1LZLA,predicted,35976.7969,0.1167192429022082,38.60157728706625,-0.11261829652996853,5.166630363464353
6ICMD,original,9645.999899999995,0.04597701149425287,37.60114942528734,-0.2540229885057471,5.63134593963623
4IMIA,original,36898.354700000054,0.04518072289156627,48.79939759036143,-0.024397590361445756,5.685229301452637
4IOBA,predicted,18503.907999999992,0.10559006211180125,46.44037267080748,-0.6155279503105591,5.082394981384277
6THOA,predicted,24809.278200000026,0.10454545454545454,47.347727272727276,-0.16363636363636364,5.980962562561035
3I9FA,original,19229.7694,0.12121212121212122,26.638848484848484,-0.421818181818182,6.143863105773924
3MVGA,original,28406.913700000023,0.08366533864541834,43.18490039840638,-0.20239043824701214,9.979399681091309
2OZNB,predicted,14829.562599999992,0.0916030534351145,45.13664122137406,-0.28778625954198467,4.316603279113769
4PMOA,original,22683.05099999999,0.10426540284360189,26.055450236966816,-0.35829383886255933,9.120165061950683
5XUNA,predicted,19537.83780000001,0.15294117647058825,28.238235294117647,-0.37529411764705906,4.662184333801269
3E7LA,predicted,7165.433099999998,0.08333333333333333,43.39999999999999,-0.46999999999999975,8.682231330871584
4OJ8B,original,31366.15180000002,0.13653136531365312,29.69778597785978,-0.30848708487084864,5.049883079528808
1B77A,predicted,25777.531900000024,0.11842105263157894,33.017982456140345,-0.08991228070175439,6.781653404235839
5THKA,original,26939.139199999994,0.09803921568627451,25.43184313725489,0.03686274509803933,6.054966926574706
6B9TA,predicted,50785.01600000005,0.11856823266219241,53.518814317673424,-0.04317673378076059,5.126558876037596
5HQWA,original,31432.287300000004,0.08013937282229965,35.742160278745644,-0.05783972125435537,5.2612104415893555
7MPDA,predicted,18222.7206,0.08125,68.41374999999998,-0.21937499999999996,4.828381538391112
1XBIA,predicted,13176.198999999988,0.06779661016949153,57.7093220338983,-0.1364406779661017,4.596819496154786
6K9CA,predicted,49495.681300000055,0.13701923076923078,28.71899038461539,-0.29375000000000023,5.6506143569946286
3O4FC,predicted,34154.73920000003,0.21830985915492956,38.713063380281675,0.1654929577464789,7.521242332458496
7E90A,predicted,13212.062099999988,0.07758620689655173,34.30086206896551,-0.062068965517241344,4.522530937194825
5HNOB,original,18273.62719999999,0.05357142857142857,34.248214285714276,-0.25595238095238076,5.823291206359863
5YVKA,original,21565.71860000001,0.1111111111111111,15.349040404040393,-0.27121212121212146,4.495191383361816
6T5KC,original,24628.35210000001,0.10714285714285714,27.027232142857127,-0.1464285714285714,5.26342716217041
2XOTB,original,38137.17580000006,0.0960960960960961,43.5093093093093,-0.2105105105105107,6.226677513122559
3I6TB,predicted,41444.09990000003,0.13736263736263737,40.385164835164815,0.14752747252747242,6.641431617736817
3HF7A,original,14602.675099999988,0.06299212598425197,25.176377952755903,-0.23070866141732269,5.222446250915527
6I3QA,original,51659.822700000106,0.10278372591006424,28.473897216274104,-0.268522483940043,4.892836952209472
1BUNB,predicted,6809.3984,0.06557377049180328,64.26885245901639,-1.0475409836065575,4.479901695251464
3FLDA,original,16059.705199999979,0.06578947368421052,29.20131578947366,-0.46710526315789486,9.78792858123779
5DYRA,predicted,16155.190000000004,0.05755395683453238,53.6956834532374,-1.1769784172661875,5.267349052429199
1P0ZA,predicted,14713.747799999985,0.08396946564885496,52.2030534351145,-0.6595419847328252,7.438882637023925
6EHIA,original,18068.450599999996,0.11320754716981132,18.342138364779867,-0.3264150943396225,9.196302223205567
4NNGA,original,18171.097199999993,0.10191082802547771,50.40382165605095,-0.6057324840764332,4.999466896057128
3W42A,predicted,22770.554300000025,0.135678391959799,36.16884422110553,-0.39497487437185935,4.801837730407715
3GLDA,original,32255.531100000033,0.09183673469387754,19.223129251700673,-0.5935374149659869,5.579508781433105
4PXOA,original,23701.959000000003,0.07870370370370369,36.18333333333334,-0.031481481481481395,6.095606803894042
5DLEA,original,11421.952299999988,0.057692307692307696,42.95673076923077,-0.2326923076923076,8.003830528259279
6PUQA,original,19229.68159999999,0.12280701754385964,34.3819298245614,0.07602339181286549,4.787286949157715
3MALA,predicted,20162.863200000018,0.11049723756906077,15.145856353591157,-0.07955801104972372,4.964795112609862
4EEWA,original,8422.5845,0.05405405405405406,36.61486486486485,-0.3837837837837837,8.618407630920412
1TJLA,original,16839.842299999993,0.05517241379310345,45.28965517241378,-0.815172413793104,5.148953437805174
7DTLA,predicted,7615.707999999997,0.11475409836065573,45.78032786885245,-0.37704918032786866,4.429826545715333
3PVLB,original,1852.1677000000004,0.125,59.618750000000006,-0.14375000000000004,11.999967765808105
3A07A,original,12799.708699999997,0.14655172413793105,16.267327586206896,-0.7706896551724138,8.584948539733887
3QW9A,predicted,19347.829500000007,0.12352941176470589,37.86294117647059,0.08941176470588234,4.281647300720215
6SLLA,predicted,19239.8115,0.17073170731707318,45.71286585365852,-0.2567073170731705,5.348458290100097
3K3CA,original,17102.742700000003,0.08552631578947367,43.647368421052626,-0.5,4.578574180603028
5DICA,predicted,13981.220599999997,0.14782608695652175,69.61999999999999,-1.0695652173913046,4.237653923034667
3CTKA,predicted,28594.42790000003,0.12096774193548387,38.19395161290322,-0.30887096774193573,4.963885688781737
6W4QA,predicted,83366.65300000034,0.11889035667107001,30.8285468956407,-0.11611624834874516,7.125188255310059
6G6KA,original,10792.220099999993,0.033707865168539325,85.75505617977525,-1.187640449438203,9.907452964782713
