name,seq_type,num_of_seqs,batch_number
3F6VA,predicted,6557,07
3EUSA,original,10641,07
3GL9A,original,14153,07
3I38A,original,13702,07
3F40A,original,1900,07
3I4OA,original,11091,07
3ISYA,predicted,2,07
3IU6A,predicted,327,07
3G5JA,predicted,2190,07
3FPRA,original,2079,07
3FPRA,predicted,2705,07
3G2BA,predicted,2,07
3GX8A,predicted,5435,07
3H6PC,original,291,07
3H36A,original,49,07
3EVIA,predicted,75,07
3GX8A,original,13561,07
3F3QA,predicted,7672,07
3FN2A,predicted,2,07
3ISYA,original,2487,07
3HTKA,original,4,07
3FN2A,original,104,07
3I38A,predicted,6847,07
3HTKA,predicted,2,07
3G2BA,original,6885,07
3IVPA,predicted,1455,07
3HF7A,original,11269,07
3I4OA,predicted,3234,07
3F52A,original,14260,07
3F52A,predicted,5589,07
3H36A,predicted,2,07
3EUSA,predicted,1646,07
3GL9A,predicted,7147,07
3H6PC,predicted,2,07
3F6VA,original,13900,07
3F3QA,original,13934,07
3IVPA,original,8831,07
3HF7A,predicted,1131,07
3IRBA,predicted,378,07
3G5JA,original,8633,07
3F40A,predicted,131,07
3HTNA,predicted,33,07
3EVIA,original,7036,07
3HZHA,original,9012,07
3HOPB,predicted,465,07
3HZHA,predicted,630,07
3FLDA,predicted,229,07
3IX3A,original,1935,07
3H9NA,original,8014,07
3HHLA,original,6845,07
3HCZA,predicted,1639,07
3HZAA,original,14054,07
3GMFA,original,6984,07
3HHLA,predicted,65,07
3IBSA,original,10237,07
3FRQA,predicted,1311,07
3IRBA,original,5140,07
3HCZA,original,8048,07
3F7CA,original,1051,07
3G16A,predicted,2,07
3IX3A,predicted,95,07
3FVWB,original,7443,07
3G7RB,predicted,560,07
3HTNA,original,5807,07
3I9FA,original,5807,07
3I6VA,original,8654,07
3FLDA,original,510,07
3GMFA,predicted,1076,07
3GWIA,predicted,698,07
3F8MA,predicted,1483,07
3IU6A,original,4494,07
3F7CA,predicted,7,07
3FVWB,predicted,100,07
3GE6A,predicted,131,07
3FH3A,predicted,176,07
3GFUA,original,4725,07
3G2SA,original,3417,07
3I9FA,predicted,564,07
3ETOA,predicted,1384,07
3FRQA,original,1250,07
3GFUA,predicted,6,07
3H9NA,predicted,65,07
3G7RB,original,9214,07
3FH3A,original,418,07
3IISM,original,3376,07
3IISM,predicted,718,07
3F6YA,predicted,7,07
3FP9A,original,3366,07
3FP9A,predicted,228,07
3IBSA,predicted,3507,07
3GWIA,original,9764,07
3G2SA,predicted,404,07
3I6VA,predicted,806,07
3G16A,original,1784,07
3HZAA,predicted,5636,07
3GE6A,original,9223,07
3G67A,original,8236,07
3G67A,predicted,2,07
3IPCA,predicted,3409,07
3F8MA,original,11427,07
3GLDA,original,823,07
3H04A,original,1498,07
3HOPB,original,9304,07
3I9WA,predicted,24,07
3ILSA,predicted,532,07
3IPCA,original,12366,07
3ETOA,original,5945,07
3IUSA,original,8770,07
3HTKC,original,5912,07
3EVTA,original,9722,07
3H0UA,original,8118,07
3F6YA,original,1553,07
3IUSA,predicted,675,07
3ISAA,predicted,104,07
3GNEA,original,620,07
3EVTA,predicted,294,07
3GNEA,predicted,260,07
3F3KB,predicted,373,07
3IT3A,original,2457,07
3FDSC,original,242,07
3EN0A,original,8246,07
3G64A,original,11086,07
3I0WA,original,8342,07
3ISAA,original,5610,07
3FPCA,original,7882,07
3G8QA,original,3319,07
3GLDA,predicted,17,07
3FPFA,predicted,95,07
3I9WA,original,304,07
3H04A,predicted,240,07
3F3KB,original,11577,07
3FPFA,original,551,07
3I0WA,predicted,176,07
3G64A,predicted,249,07
3FXQA,original,7646,07
3HTKC,predicted,2,07
3FXQA,predicted,690,07
3ILSA,original,5282,07
3EN0A,predicted,358,07
3EOFA,original,10056,07
3IT3A,predicted,41,07
3EOFA,predicted,1181,07
3H0UA,predicted,162,07
3FDSC,predicted,6,07
3G8QA,predicted,7,07
3GONA,original,2265,07
3GONA,predicted,162,07
3IMHA,original,8025,07
3IMHA,predicted,93,07
3G8RA,original,6515,07
3G8RA,predicted,28,07
3IEGA,predicted,114,07
3IC9A,original,7840,07
3IARA,predicted,554,07
3GETA,original,8384,07
3EZ2B,original,3108,07
3FPCA,predicted,926,07
3H6GB,predicted,25,07
3I09A,predicted,1904,07
3ISQA,predicted,132,07
3EZSA,predicted,180,07
3HSYB,predicted,81,07
3H5AC,original,6609,07
3GK7A,original,12873,07
3IP1A,original,10076,07
3HYWA,predicted,2951,07
3I6TB,original,4661,07
3I6TB,predicted,209,07
3EZSA,original,6798,07
3I09A,original,8636,07
3ISQA,original,11524,07
3GIRA,predicted,984,07
3IFEA,original,7606,07
3GIAA,original,4719,07
3HYWA,original,6936,07
3IC9A,predicted,135,07
3H5AC,predicted,59,07
3EZ2B,predicted,46,07
3IFEA,predicted,1313,07
3IUUA,original,6199,07
3IARA,original,9786,07
3G0TA,original,1644,07
3HSYB,original,2311,07
3H6GB,original,3676,07
3IP1A,predicted,417,07
3GETA,predicted,372,07
3GQ8A,predicted,4044,07
3H5LA,predicted,3546,07
3GK7A,predicted,1047,07
3IEGA,original,3170,07
3H5LA,original,7084,07
3G0TA,predicted,124,07
3GIRA,original,14725,07
3GIAA,predicted,11,07
3IUUA,predicted,419,07
3HQ2A,original,10727,07
3HQ2A,predicted,311,07
3H8GA,original,18942,07
3H8GA,predicted,726,07
3GQ8A,original,7733,07
