name,seq_type,num_of_seqs,batch_number
3ZIHA,predicted,1847,10
4EFOA,predicted,279,10
4EFAC,predicted,162,10
3VYQA,original,7226,10
4D7PA,original,4407,10
3ZFIA,predicted,293,10
4AQOA,original,17102,10
3ZZYA,original,9156,10
4B0FA,original,227,10
4EFOA,original,1142,10
4AKXA,predicted,97,10
3ZFIA,original,1146,10
4CBKA,original,8800,10
4CBKA,predicted,2,10
4EEWA,predicted,2,10
4CYJE,original,1345,10
4G92A,original,2996,10
4EFAC,original,3254,10
4FK5E,predicted,46,10
4EC6A,predicted,2,10
4G3OA,original,2490,10
4B6IA,original,483,10
4C0FA,predicted,2,10
4G3OA,predicted,2,10
4EEWA,original,8259,10
3ZZYA,predicted,184,10
3ZE3A,predicted,2,10
4B0FA,predicted,222,10
4F3FC,original,470,10
4F3FC,predicted,6,10
4G92A,predicted,2,10
3VYQA,predicted,2125,10
4FM3A,original,3347,10
4CYJE,predicted,144,10
4FK5E,original,334,10
4D7PA,predicted,70,10
3ZIHA,original,9474,10
4AQOA,predicted,9264,10
4EC6A,original,425,10
4D6YA,predicted,4406,10
4FM3A,predicted,2,10
4C0FA,original,4164,10
4B6IA,predicted,92,10
4AIKA,predicted,149,10
4CIHA,predicted,2,10
4AZ9A,original,7351,10
4BJTA,original,206,10
4BI3A,predicted,2,10
4E19A,predicted,1282,10
3ZUIA,original,85,10
4G0XA,predicted,507,10
4E0EA,predicted,91,10
4AZ9A,predicted,34,10
4CV7A,original,292,10
3ZVSA,original,7844,10
4DGFA,predicted,793,10
4ANNA,predicted,51,10
4G0XA,original,5408,10
3ZFPA,predicted,557,10
4BI3A,original,672,10
4CV7A,predicted,2,10
4ETNA,predicted,69,10
4ACJA,original,8747,10
4BBOA,original,1410,10
3ZVSA,predicted,193,10
3ZFPA,original,558,10
4BJTA,predicted,157,10
4AIKA,original,7041,10
3X0IA,original,11067,10
4BBOA,predicted,150,10
4EPCA,original,1285,10
4C2MI,predicted,448,10
3ZE3A,original,12270,10
4EO7A,predicted,594,10
4CYMD,predicted,6304,10
3ZUCA,original,6456,10
4C2MI,original,7392,10
3X0IA,predicted,575,10
4CIHA,original,17,10
4G78A,original,4328,10
4C1QA,predicted,638,10
4AKXA,original,47,10
4CVNA,predicted,1008,10
3ZUCA,predicted,46,10
4ETNA,original,11249,10
4BK7A,original,2576,10
4DGFA,original,7267,10
4BK7A,predicted,397,10
4E19A,original,13692,10
4EPCA,predicted,346,10
4G78A,predicted,145,10
3WP0A,predicted,1323,10
4D6YA,original,12783,10
4CVNA,original,9797,10
4EO7A,original,5397,10
3ZUIA,predicted,2,10
4ACJA,predicted,1199,10
4CYMD,original,14453,10
4BPZA,predicted,210,10
4E0EA,original,743,10
3WKQA,predicted,212,10
4C1QA,original,6417,10
4AVYA,predicted,2069,10
4FGLA,predicted,123,10
4EGFA,original,9934,10
4ANNA,original,372,10
4AWDA,original,2617,10
3VZXA,predicted,1112,10
4BZ4B,original,78,10
4EX6A,original,8681,10
4D06A,original,257,10
3WP0A,original,9416,10
3W42A,predicted,61,10
4EGFA,predicted,780,10
4AU1A,predicted,1841,10
4BWVA,predicted,664,10
3ZPYA,predicted,6,10
4DN2A,predicted,311,10
4BWVA,original,8504,10
4D06A,predicted,106,10
3VZXA,original,3371,10
4EX6A,predicted,802,10
4AK2A,predicted,29,10
4G9SA,original,2928,10
4EISA,predicted,100,10
4E9KA,original,1666,10
3ZNVA,original,1072,10
4FUVA,predicted,972,10
4AU1A,original,10096,10
4FOKA,original,8038,10
3ZPYA,original,706,10
4GC1A,original,1936,10
3W42A,original,1657,10
4FUVA,original,815,10
3WKQA,original,11220,10
4E9KA,predicted,41,10
4CS4A,predicted,53,10
4G9SA,predicted,11,10
4FOKA,predicted,157,10
4BPZA,original,15020,10
4BZ4B,predicted,621,10
4CS4A,original,1004,10
4AVYA,original,14042,10
3ZNVA,predicted,159,10
4DN2A,original,10932,10
4AWDA,predicted,37,10
4EISA,original,8260,10
4FGLA,original,9263,10
4DDDA,predicted,253,10
4GC1A,predicted,299,10
4BLUA,original,7216,10
4BLUA,predicted,191,10
4DNHA,original,3898,10
3W5NA,original,21671,10
4AK2A,original,321,10
4CGKA,original,8272,10
4C23A,predicted,80,10
4FE9A,original,753,10
4FK9A,predicted,60,10
4DWRA,predicted,1316,10
4ACFA,original,18357,10
4FE9A,predicted,154,10
4AKFA,original,5077,10
4B0NA,original,5812,10
3X0UA,predicted,5,10
4DDDA,original,7730,10
4DNHA,predicted,61,10
4CJ0A,original,9413,10
4FK9A,original,5047,10
4C23A,original,9234,10
4G65A,original,12855,10
4AKFA,predicted,966,10
3WGUB,original,5226,10
4CGKA,predicted,174,10
3ZH9B,original,7110,10
4BE3A,original,2102,10
4BE3A,predicted,1254,10
3X0UA,original,114,10
4G65A,predicted,1001,10
3ZIUB,original,20946,10
3WDQA,original,6284,10
3WDQA,predicted,24,10
3ZEUB,predicted,3299,10
3ZH9B,predicted,76,10
4EZCA,predicted,30,10
4ECLA,predicted,229,10
4AYOA,original,9346,10
3WGUB,predicted,67,10
4DWRA,original,15408,10
4ECLA,original,9746,10
3W5NA,predicted,1004,10
4EZCA,original,3110,10
4ACFA,predicted,2244,10
4B0NA,predicted,217,10
3ZEUB,original,17830,10
4AYOA,predicted,366,10
4CJ0A,predicted,124,10
3ZIUB,predicted,237,10
4AIOA,original,11839,10
4AIOA,predicted,54,10
