name,seq_type,num_of_seqs,batch_number
5SVYA,predicted,2,15
5ZTBD,original,6360,15
5ZTBD,predicted,1169,15
5YIXB,original,8015,15
5X2DA,predicted,57,15
5SVYA,original,5412,15
5X2EA,original,6623,15
5ZCYA,predicted,105,15
5X3TA,original,5370,15
5X2EA,predicted,2921,15
6BXGA,predicted,2,15
5YOFA,predicted,3,15
5X2DA,original,369,15
6B4HB,original,698,15
6BBKA,predicted,22,15
5Z2HA,predicted,2,15
6BXGA,original,12539,15
5XYFB,original,129,15
6AC5A,predicted,822,15
5X57A,original,4724,15
6BL7A,original,12,15
5TUVC,predicted,2,15
5XNSC,original,5265,15
5X57A,predicted,1064,15
5YOFA,original,141,15
5TKZA,predicted,241,15
5Y6GA,predicted,137,15
6B8OA,predicted,169,15
5XYFB,predicted,2,15
5T1IA,predicted,932,15
5XNSC,predicted,1047,15
5ZCYA,original,9598,15
5YIXB,predicted,2,15
6AC5A,original,4921,15
6B4HB,predicted,196,15
5T1IA,original,8861,15
6BQAA,predicted,1043,15
5TKZA,original,6982,15
5TUVC,original,538,15
5X3TA,predicted,2716,15
6BL7A,predicted,2,15
6BQAA,original,8547,15
6B8OA,original,2851,15
5Z2HA,original,324,15
5T76A,predicted,383,15
6AMGA,original,5961,15
5XMZA,original,365,15
5UFTA,original,7518,15
5YA6A,original,666,15
5T76A,original,2207,15
5WXMA,predicted,2,15
6BWGA,original,8870,15
5XMZA,predicted,157,15
5Z1NA,predicted,920,15
5YCEA,original,1351,15
5UC0A,predicted,1622,15
5U7AA,original,3166,15
5T86I,original,344,15
5XUNA,original,7403,15
6AM3A,original,9508,15
5VSNA,original,6971,15
5Z1NA,original,94,15
5YCEA,predicted,2,15
5VSNA,predicted,1123,15
5T86I,predicted,42,15
5XUNA,predicted,142,15
5VNAA,original,5730,15
6BDCA,original,2000,15
5Z48A,original,7178,15
5YAAA,original,2259,15
6AMGA,predicted,135,15
5W7LA,original,19440,15
5WWDA,predicted,780,15
5ZRYA,original,4558,15
5UC0A,original,4375,15
6BDCA,predicted,2,15
5TTAA,predicted,39,15
6AM3A,predicted,217,15
5YA6A,predicted,187,15
5UFTA,predicted,1100,15
6BBKA,original,1451,15
5TTAA,original,138,15
5Y69A,predicted,2,15
5YAAA,predicted,909,15
5VNAA,predicted,972,15
6BWGA,predicted,216,15
5Y69A,original,1209,15
5Y5QA,predicted,35,15
5Y6GA,original,1206,15
5ZRYA,predicted,441,15
5Y5QA,original,6592,15
5U7AA,predicted,166,15
5WXMA,original,3987,15
5WWDA,original,10439,15
5Z48A,predicted,756,15
5Z01A,predicted,294,15
5UE1A,original,8265,15
6B3YA,original,580,15
5WL1A,predicted,130,15
5T95A,original,3259,15
5THKA,predicted,342,15
5TTYA,original,192,15
5WXXA,predicted,2,15
5XA5A,predicted,21,15
6A0EA,predicted,136,15
6BG8A,original,8874,15
5TFQA,original,4332,15
5W15A,predicted,762,15
5TTYA,predicted,6,15
5WJMA,original,8117,15
5Y6QB,predicted,218,15
6ATRA,original,7938,15
6ATRA,predicted,674,15
5W15A,original,8011,15
5YSQB,original,1585,15
6AVYA,original,7814,15
6BG8A,predicted,338,15
5WJMA,predicted,25,15
5WXXA,original,1181,15
5XOIA,predicted,405,15
5W3XA,predicted,10,15
5ZLEA,predicted,2,15
5T95A,predicted,544,15
5ZWBA,original,6441,15
5T40A,original,9872,15
5XA5A,original,916,15
5TINA,predicted,34,15
5XOIA,original,7954,15
5YSQB,predicted,71,15
5THKA,original,9763,15
5ZWLG,original,10668,15
5ZWBA,predicted,252,15
5T40A,predicted,226,15
5ZLEA,original,4190,15
5ZWLG,predicted,188,15
5W3XA,original,67,15
6A29A,predicted,13,15
6B3YA,predicted,169,15
5UE1A,predicted,321,15
5TFQA,predicted,49,15
6A29A,original,110,15
5ZIKA,original,5973,15
6AVYA,predicted,967,15
5WL1A,original,3351,15
5ZIKA,predicted,468,15
5Z01A,original,8480,15
5UBPB,original,82,15
6A0EA,original,1835,15
5Z0UA,predicted,67,15
5Y6QB,original,11842,15
6AHVA,predicted,106,15
5Z4AA,predicted,11,15
5Y0OA,original,6224,15
5YHVA,predicted,521,15
5Y0OA,predicted,60,15
5W7CC,predicted,129,15
5Y0EA,predicted,12,15
5TINA,original,12526,15
6B9TA,predicted,63,15
5TWBA,original,5378,15
5TWBA,predicted,3129,15
5ZUMA,original,6509,15
5Z4AA,original,1263,15
5UIWA,original,10758,15
6BPMA,original,6847,15
6BKAA,original,5607,15
6BKAA,predicted,272,15
5ZXNA,original,15050,15
5UBPB,predicted,4,15
5XS2A,predicted,423,15
6B9TA,original,2344,15
6BPMA,predicted,63,15
5Y0EA,original,5369,15
5T5IA,predicted,221,15
6AHVA,original,812,15
5ZXNA,predicted,1109,15
5ZUMA,predicted,471,15
5UCDA,predicted,132,15
5T5IA,original,6456,15
5UCDA,original,12606,15
5TIPA,predicted,592,15
5Z0UA,original,13014,15
5W5RB,original,16931,15
5W7CC,original,4635,15
5XS2A,original,13465,15
5UJUA,original,2562,15
5YHVA,original,11953,15
5UIWA,predicted,11161,15
5W5RB,predicted,871,15
5TIPA,original,6187,15
5UJUA,predicted,188,15
