name,seq_type,num_of_seqs,batch_number
4WFWA,original,4290,12
4WLRB,original,2936,12
4XDXA,original,5312,12
4RT5A,predicted,1045,12
4XEDA,original,11265,12
4RKHE,original,5365,12
4Q53A,original,1946,12
4Q97A,original,4145,12
4QOZC,original,4204,12
4QOZC,predicted,2,12
4XVVA,predicted,438,12
4R25A,predicted,2,12
4Q53A,predicted,153,12
4PC0C,original,39,12
4WY4D,original,5065,12
4WYHA,predicted,2,12
4ROJA,predicted,692,12
4Q9BA,original,1882,12
4WFWA,predicted,212,12
4WLRB,predicted,982,12
4WNDB,original,399,12
4R4EA,predicted,2,12
4WNDB,predicted,2,12
4XVVA,original,272,12
4RKHE,predicted,2,12
4WCIA,original,13245,12
4WCIA,predicted,2950,12
4WY4D,predicted,2,12
4XDXA,predicted,3560,12
4XINA,predicted,52,12
4QNSA,predicted,626,12
4XEDA,predicted,1332,12
4PC0C,predicted,2,12
4R4EA,original,11315,12
4WYHA,original,611,12
4UE0A,predicted,27,12
4Q97A,predicted,277,12
4RT5A,original,7933,12
4QNSA,original,7530,12
4Q9BA,predicted,2,12
4ROJA,original,8066,12
4X9UB,predicted,965,12
4WZ0A,original,6784,12
4W6YA,original,7,12
4OKEA,predicted,891,12
4WZ0A,predicted,7206,12
4QQ7A,predicted,1246,12
4WWFA,original,1194,12
4X9UB,original,6086,12
4OKEA,original,3103,12
4WWFA,predicted,2,12
4P2FA,original,14444,12
4R25A,original,10024,12
4OFAA,predicted,1054,12
4WBJA,predicted,1575,12
4XINA,original,1928,12
4QLPA,predicted,12,12
4QB6A,predicted,663,12
4UE0A,original,12,12
4W6YA,predicted,32,12
4NXYA,original,10742,12
4NS0A,original,9225,12
4RI1A,original,985,12
4NS0A,predicted,2,12
4RI1A,predicted,2,12
4R9PA,predicted,132,12
4RD7A,original,6644,12
4ODDA,original,798,12
4RHZB,original,150,12
4R30A,original,1095,12
4WBJA,original,15717,12
4RHZB,predicted,61,12
4W8HA,original,6566,12
4RCJA,predicted,1404,12
4W8HA,predicted,595,12
4QB6A,original,7422,12
4RBRA,original,555,12
4RBRA,predicted,2,12
4PMOA,predicted,86,12
4O1RA,predicted,983,12
4RCJA,original,6428,12
4RD7A,predicted,812,12
4NXYA,predicted,101,12
4O1RA,original,10932,12
4R30A,predicted,406,12
4R6RA,predicted,220,12
4PQZA,predicted,149,12
4RZ9A,predicted,1150,12
4QLPA,original,290,12
4R6RA,original,3994,12
4RZ9A,original,3286,12
4PQZA,original,165,12
4OFAA,original,7644,12
4ODDA,predicted,31,12
4R4GA,predicted,2,12
4P2FA,predicted,1010,12
4Q51A,predicted,46,12
4P2VA,original,7598,12
4R29B,original,45,12
4NX8A,predicted,15,12
4W5ZA,predicted,233,12
4R29B,predicted,99,12
4ROTA,original,7108,12
4TQ4A,original,623,12
4QQ7A,original,10492,12
4POWA,predicted,1079,12
4WNRA,predicted,49,12
4R9PA,original,1457,12
4P5BB,original,8593,12
4OPWA,predicted,949,12
4PMOA,original,2298,12
4PXOA,predicted,529,12
4TQ4A,predicted,7,12
4XB6D,original,3239,12
4PF6A,predicted,46,12
4XAAA,predicted,99,12
4P5BB,predicted,11,12
4TXEA,original,5522,12
4Q51A,original,1345,12
4WOKA,predicted,353,12
4QPTA,original,3620,12
4WJMA,original,9879,12
4POWA,original,10305,12
4WX0A,original,982,12
4RSWA,predicted,15,12
4WX0A,predicted,43,12
4QPTA,predicted,135,12
4PC9A,original,7688,12
4RSWA,original,209,12
4OJ8B,predicted,33,12
4PF6A,original,8192,12
4QLXA,original,6354,12
4P2VA,predicted,302,12
4QLXA,predicted,285,12
4TXEA,predicted,12,12
4OJ8B,original,2239,12
4PC9A,predicted,133,12
4NX8A,original,2245,12
4PXOA,original,12690,12
4WZZA,original,4734,12
4ROTA,predicted,215,12
4XKYA,original,10441,12
4XAAA,original,5873,12
4XKYA,predicted,1013,12
4OPWA,original,1746,12
4WZZA,predicted,343,12
4XB6D,predicted,244,12
4WJMA,predicted,1072,12
4R1SA,original,13535,12
4R1SA,predicted,1354,12
4Q34A,original,6265,12
4Q34A,predicted,452,12
4UOPA,predicted,25,12
4WESB,predicted,33,12
4R4GA,original,379,12
4QO5A,predicted,10,12
4W5ZA,original,3586,12
4S39A,original,17243,12
4U98A,predicted,181,12
4XNWA,original,15981,12
4W8BA,predicted,31,12
4WNRA,original,9106,12
4NRTA,original,884,12
4OH1A,original,9992,12
4U98A,original,11733,12
4QFUG,predicted,143,12
4RNLA,predicted,763,12
4UB9A,original,8763,12
4XNWA,predicted,10816,12
4XR9A,predicted,1068,12
4NRTA,predicted,503,12
4WOKA,original,17400,12
4UOPA,original,4883,12
4WESB,original,4607,12
4WQMA,predicted,686,12
4XR9A,original,11385,12
4QO5A,original,3410,12
4X2PA,original,10681,12
4W8BA,original,6482,12
4XOTA,original,688,12
4WQMA,original,9999,12
4REPA,original,12363,12
4S39A,predicted,4050,12
4UHVA,predicted,14,12
4RNLA,original,15586,12
4XHZA,predicted,270,12
4OH1A,predicted,19,12
4X2PA,predicted,325,12
4UZSA,predicted,277,12
4XHZA,original,6771,12
4QFUG,original,6186,12
4TMXA,predicted,1546,12
4UB9A,predicted,828,12
4TMXA,original,13391,12
4UNMB,original,8644,12
4REPA,predicted,2222,12
4XOTA,predicted,73,12
4UNMB,predicted,1050,12
4UHVA,original,15914,12
4UZSA,original,10354,12
