name,seq_type,num_of_seqs,batch_number
1B33N,original,279,01
1HZ6A,original,56,01
1CC8A,original,7922,01
1D3BA,predicted,471,01
1GD2E,original,6279,01
1C5EA,predicted,58,01
1C9OA,original,18401,01
1C9OA,predicted,6284,01
1L0SA,predicted,21,01
1CC8A,predicted,2,01
1HSTA,original,10646,01
1HXRB,original,1764,01
1AHOA,predicted,2,01
1I3JA,original,3810,01
1C5EA,original,560,01
1D3BA,original,6666,01
1HSTA,predicted,3,01
1KO6B,original,2,01
1FM0D,predicted,1965,01
1DP7P,predicted,3,01
1KVEB,predicted,2,01
1GYOA,predicted,2,01
1HZ6A,predicted,2,01
1L0SA,original,47,01
1BUNB,predicted,2,01
1I27A,original,1346,01
1AHOA,original,711,01
1I3JA,predicted,2,01
1GYOA,original,7308,01
1B33N,predicted,2,01
1JYOE,predicted,2,01
1KO6B,predicted,2,01
1I27A,predicted,2,01
1JYOE,original,126,01
1BUNB,original,10790,01
1KVEB,original,7,01
1FM0D,original,10513,01
1HXRB,predicted,66,01
1GD2E,predicted,2,01
1DP7P,original,4383,01
1FXKC,predicted,2,01
1G5CA,predicted,305,01
1BM9A,original,728,01
1KHYD,predicted,368,01
1IDPA,original,1186,01
1BM9A,predicted,2,01
1KHYD,original,6991,01
1B0BA,predicted,8,01
1G12A,original,5273,01
1J83A,original,460,01
1HLVA,original,6329,01
1JHSA,predicted,41,01
1HLVA,predicted,924,01
1G12A,predicted,20,01
1IKOP,predicted,2,01
1BOUA,original,4683,01
1LN1A,predicted,12,01
1JL1A,original,15902,01
1CV8A,predicted,69,01
1BOUA,predicted,1051,01
1EU4A,predicted,11,01
1GHEA,predicted,213,01
1FXKC,original,2649,01
1KTGA,predicted,402,01
1KOEA,original,4393,01
1KQ6A,original,2790,01
1IDPA,predicted,155,01
1KLXA,original,7993,01
1KQ6A,predicted,116,01
1BKBA,predicted,224,01
1DVOA,predicted,2,01
1G2QA,original,13757,01
1KLXA,predicted,173,01
1HQZ1,original,2147,01
1B0BA,original,150,01
1GZ2A,original,6601,01
1KOEA,predicted,292,01
1G5CA,original,8237,01
1J83A,predicted,44,01
1KMTA,original,3825,01
1IQQA,predicted,124,01
1BKBA,original,6904,01
1GZ2A,predicted,1994,01
1IKOP,original,3441,01
1ALYA,predicted,15,01
1DVOA,original,1276,01
1GHEA,original,7442,01
1KTGA,original,8433,01
1ALYA,original,1291,01
1JL1A,predicted,2972,01
1G2QA,predicted,402,01
1KMTA,predicted,56,01
1HQZ1,predicted,2,01
1CV8A,original,187,01
1HRUA,original,10009,01
1HRUA,predicted,386,01
1FJRA,original,713,01
1FJRA,predicted,533,01
1JHSA,original,1530,01
1IQQA,original,4728,01
1LN1A,original,2541,01
1JCLA,predicted,573,01
1K7CA,original,7755,01
1H65A,predicted,190,01
1BMTA,original,15216,01
1FXJA,predicted,1144,01
1EU4A,original,287,01
1GHPA,original,6470,01
1B77A,original,1262,01
1FJ2A,predicted,518,01
1JCLA,original,13468,01
1DOWA,original,1798,01
1FS5A,original,12892,01
1K6DB,original,14689,01
1HWMA,original,582,01
1FS5A,predicted,1403,01
1DOWA,predicted,34,01
1E4CP,predicted,868,01
1K1AA,predicted,1573,01
1IY8A,original,10748,01
1DEKA,original,1154,01
1AGJA,predicted,17,01
1JR3E,predicted,82,01
1B77A,predicted,188,01
1GQ8A,original,14416,01
1M1LA,original,2656,01
1JX6A,predicted,180,01
1E4CP,original,9649,01
1FIWA,original,18322,01
1F5QB,original,139,01
1IY8A,predicted,1408,01
1AGJA,original,2145,01
1F5QB,predicted,6,01
1FIWA,predicted,3475,01
1FJ2A,original,10306,01
1BMTA,predicted,1236,01
1GHPA,predicted,140,01
1K1AA,original,8628,01
1HWMA,predicted,2,01
1K6DB,predicted,1348,01
1H65A,original,2829,01
1AZZA,original,12551,01
1AZZA,predicted,696,01
1DEKA,predicted,14,01
1K7CA,predicted,125,01
1M1LA,predicted,268,01
1GQ8A,predicted,731,01
1CKMA,original,2035,01
1CKMA,predicted,17,01
1KKHA,original,7061,01
1KKHA,predicted,277,01
1LZLA,original,14539,01
1LZLA,predicted,1847,01
1FXJA,original,15642,01
1IBJA,predicted,316,01
1JR3E,original,9067,01
1FP2A,original,11148,01
1GWEA,original,14305,01
1KFWA,predicted,82,01
1HYOA,original,11727,01
1KFWA,original,13402,01
1LFWA,predicted,240,01
1DCEA,original,7426,01
1JX6A,original,767,01
1C96A,predicted,313,01
1DLJA,original,11724,01
1FP2A,predicted,61,01
1HM9A,original,21513,01
1KOLA,original,14553,01
1DLJA,predicted,656,01
1EK9A,predicted,2,01
1H2BA,original,11071,01
1DMRA,original,11204,01
1LFWA,original,6415,01
1FN9A,predicted,26,01
1C8KA,original,16096,01
1DMRA,predicted,402,01
1H2BA,predicted,158,01
1EK9A,original,6973,01
1DYSA,predicted,57,01
1EOVA,original,14688,01
1GNLA,predicted,1099,01
1GWEA,predicted,346,01
1EOVA,predicted,314,01
1DYSA,original,6106,01
1DCEA,predicted,102,01
1GU7A,predicted,71,01
1IBJA,original,18469,01
1KOLA,predicted,1831,01
1HYOA,predicted,933,01
1HM9A,predicted,2405,01
1GNLA,original,8158,01
1GU7A,original,3736,01
1FN9A,original,33,01
1C96A,original,20401,01
1C8KA,predicted,293,01
1L5JA,original,11380,01
1L5JA,predicted,2736,01
1BXRA,original,22855,01
1BXRA,predicted,1405,01
