name,seq_type,num_of_seqs,batch_number
3JU3A,original,6725,08
3MD1A,original,12202,08
3MSOA,predicted,78,08
3K3SA,predicted,2748,08
3KW6A,original,12923,08
3K63A,predicted,2,08
3K7CA,predicted,2,08
3OV8A,predicted,98,08
3KG0A,original,5762,08
3K63A,original,37,08
3O7AA,original,10239,08
3LAEA,original,7593,08
3MD1A,predicted,6255,08
3MC3A,predicted,2,08
3NCTA,predicted,77,08
3OEQA,predicted,111,08
3ONRA,original,10618,08
3LUQB,original,10496,08
3NBMA,predicted,651,08
3ONRA,predicted,2,08
3NJNA,predicted,307,08
3MPCA,predicted,834,08
3NBMA,original,900,08
3OHUA,predicted,218,08
3KW6A,predicted,3155,08
3M92A,original,599,08
3M92A,predicted,2,08
3LAEA,predicted,1745,08
3JU3A,predicted,378,08
3OV8A,original,2511,08
3NJNA,original,192,08
3O7AA,predicted,2,08
3K3SA,original,12259,08
3MPCA,original,16132,08
3K7CA,original,229,08
3KG0A,predicted,13,08
3OHUA,original,7486,08
3KXYA,predicted,50,08
3LUQB,predicted,1207,08
3OEQA,original,3981,08
3MC3A,original,2930,08
3JWNE,original,4755,08
3NWZA,original,7482,08
3JQOB,original,3182,08
3NRVC,original,6511,08
3JQOB,predicted,323,08
3O0GD,original,1458,08
3O0ZA,predicted,2,08
3ON4A,original,6323,08
3IX7A,original,9377,08
3MTVA,predicted,141,08
3LLUA,original,3573,08
3IX7A,predicted,514,08
3K3CA,original,7404,08
3JWNE,predicted,548,08
3NWZA,predicted,460,08
3KXYA,original,132,08
3LLUA,predicted,42,08
3NRVC,predicted,124,08
3O0GD,predicted,2,08
3L1NA,original,378,08
3LMBA,original,3667,08
3MSOA,original,7994,08
3ON4A,predicted,11,08
3OA4A,original,11816,08
3JZZA,original,2143,08
3MALA,predicted,90,08
3L51A,original,6665,08
3NCTA,original,382,08
3K3CA,predicted,353,08
3K5JA,original,1230,08
3KB2A,original,2962,08
3LMBA,predicted,54,08
3K5JA,predicted,27,08
3JZZA,predicted,28,08
3KDWA,predicted,73,08
3L51B,predicted,1135,08
3MSXB,original,7940,08
3JYBA,original,2954,08
3LQKA,predicted,333,08
3O0ZA,original,1765,08
3KB2A,predicted,30,08
3OA4A,predicted,374,08
3MALA,original,6991,08
3OA8B,original,7026,08
3L1NA,predicted,2,08
3L51B,original,8445,08
3KB5A,predicted,199,08
3JYBA,predicted,29,08
3MSWA,predicted,52,08
3OA8B,predicted,304,08
3L51A,predicted,1000,08
3LWJA,predicted,870,08
3MSWA,original,558,08
3N3YA,predicted,2,08
3MSXB,predicted,593,08
3KB5A,original,4839,08
3LWJA,original,4254,08
3NEVA,original,10409,08
3LQKA,original,2784,08
3K6YA,predicted,352,08
3MUQA,original,11307,08
3MBRX,predicted,550,08
3MTVA,original,497,08
3LIFA,original,8444,08
3NEVA,predicted,1643,08
3KRAB,predicted,14,08
3KDWA,original,1800,08
3O4FC,original,10844,08
3NZIA,predicted,1087,08
3M3PA,predicted,801,08
3LIFA,predicted,3,08
3KWSA,original,1921,08
3K94A,original,5853,08
3NO4A,original,8235,08
3NOQA,original,16110,08
3M9WA,predicted,528,08
3N3YA,original,1640,08
3NOJA,original,10547,08
3M33A,predicted,100,08
3O4FC,predicted,83,08
3NZIA,original,17306,08
3KFOA,original,62,08
3LKVA,original,11083,08
3KFOA,predicted,57,08
3K9EB,predicted,215,08
3NOQA,predicted,6363,08
3KRAB,original,2382,08
3K6YA,original,11399,08
3KZHA,predicted,52,08
3M3PA,original,9165,08
3KWSA,predicted,324,08
3M33A,original,1743,08
3K94A,predicted,155,08
3LM2A,predicted,2532,08
3LP5A,predicted,31,08
3LM2A,original,12534,08
3LM4A,predicted,280,08
3NO4A,predicted,1208,08
3L41A,original,1915,08
3MVGA,predicted,3,08
3MBRX,original,12001,08
3MVGA,original,454,08
3L41A,predicted,106,08
3NOJA,predicted,2456,08
3LP5A,original,1168,08
3LKVA,predicted,2637,08
3MUQA,predicted,1753,08
3N9YA,predicted,11,08
3M9WA,original,11149,08
3P1UA,predicted,51,08
3K9EB,original,6052,08
3MJSA,original,21509,08
3JSZA,original,74,08
3MDUA,predicted,176,08
3MK1A,original,12681,08
3KZHA,original,3030,08
3MBDA,predicted,230,08
3LM4A,original,5296,08
3N75A,predicted,781,08
3MZVB,predicted,555,08
3O72A,original,8379,08
3K2WB,original,10795,08
3LKDB,predicted,176,08
3KZWA,predicted,710,08
3MFDA,predicted,221,08
3N2TA,original,12824,08
3N2TA,predicted,411,08
3LKDB,original,14797,08
3MJSA,predicted,626,08
3KLJA,original,9170,08
3N7ZB,original,2344,08
3P1UA,original,2269,08
3MZVB,original,12740,08
3O3VA,predicted,178,08
3KZWA,original,11724,08
3N7ZB,predicted,8,08
3NVWB,predicted,73,08
3NVWB,original,5113,08
3K7DA,original,11372,08
3LLTA,original,10428,08
3K7DA,predicted,131,08
3MDUA,original,8833,08
3N9YA,original,7663,08
3MK1A,predicted,71,08
3MFDA,original,13413,08
3NOWA,predicted,12,08
3K2WB,predicted,850,08
3KLJA,predicted,682,08
3ORJA,predicted,75,08
3O3VA,original,6341,08
3MBDA,original,10332,08
3LLTA,predicted,509,08
3O72A,predicted,450,08
3ORJA,original,633,08
3KVNA,original,2853,08
3JSZA,predicted,13,08
3KVNA,predicted,48,08
3N75A,original,6672,08
3NOWA,original,1817,08
