name,seq_type,num_of_seqs,batch_number
4ZV5A,predicted,42,13
5FVKA,predicted,2,13
5D23A,original,33,13
5CESA,original,3992,13
5FIIA,original,7920,13
5E1YA,original,7680,13
5COSA,predicted,2,13
5FGOA,original,3805,13
5E4WC,predicted,2,13
5DUKA,original,6742,13
4YPCA,predicted,2,13
5FIYA,original,1385,13
5BWDC,original,93,13
5FIIA,predicted,2,13
5CHLA,original,875,13
5CHLA,predicted,2,13
4YTWA,predicted,2,13
5B66E,predicted,2,13
4YPCA,original,7098,13
5COSA,original,6587,13
5FGOA,predicted,2,13
5D23A,predicted,2,13
5CESA,predicted,425,13
5B66E,original,694,13
5FIYA,predicted,2,13
5AOTA,predicted,61,13
5DO6A,original,1775,13
5D8VA,original,5120,13
5DO6A,predicted,2,13
4XXLA,original,8476,13
4ZV5A,original,814,13
5DLEA,predicted,555,13
4YTWA,original,2280,13
4XXLA,predicted,271,13
5FVKA,original,4320,13
4YK2A,predicted,17,13
5BWDC,predicted,2,13
5DUKA,predicted,2,13
5AOTA,original,77,13
4YK2A,original,777,13
5E1YA,predicted,5983,13
5D8VA,predicted,4,13
5DPOA,original,9,13
5DLEA,original,7328,13
5DPOA,predicted,2,13
5DYRA,predicted,9,13
5FORA,predicted,46,13
4Y2FA,original,4654,13
5AMTA,original,27,13
5B6CA,original,3547,13
5AMTA,predicted,2,13
4ZBHA,original,219,13
5C04A,original,11363,13
4ZI3C,predicted,7,13
5B6CA,predicted,995,13
5D4NA,original,1558,13
5DFYA,predicted,172,13
4Z47A,predicted,452,13
5D4NA,predicted,198,13
4Z39A,original,294,13
4ZI3C,original,3738,13
5FO8C,predicted,6909,13
5E4WC,original,9427,13
5DJOA,original,5464,13
4XXIA,predicted,112,13
4Z39A,predicted,152,13
5FO8C,original,10355,13
5CYAB,original,78,13
4ZBHA,predicted,39,13
4YWAA,predicted,3085,13
5BTYA,original,238,13
5DM6S,predicted,5629,13
5DICA,original,2716,13
4XXIA,original,2958,13
5CNLA,predicted,2,13
5DJOA,predicted,3526,13
5CNLA,original,666,13
5DFYA,original,10072,13
5DCLA,original,12654,13
5BTYA,predicted,13,13
4Y2FA,predicted,141,13
4YWAA,original,682,13
5C04A,predicted,2424,13
5FORA,original,794,13
5DICA,predicted,190,13
5C8GA,original,6453,13
5CZ1A,original,5183,13
5DYRA,original,1079,13
5CZ1A,predicted,164,13
5DCLA,predicted,1987,13
5CU1A,predicted,130,13
5C8GA,predicted,1114,13
5CYAB,predicted,44,13
5EF9A,original,74,13
5EF9A,predicted,30,13
4Z9DA,original,329,13
4Z9DA,predicted,2,13
5C0PA,original,8037,13
5DM6S,original,7359,13
4YBNA,predicted,176,13
4YCAB,original,2368,13
5A8UA,original,26,13
5DYJA,predicted,92,13
5C0PA,predicted,91,13
4Z47A,original,9551,13
5BT9A,original,9402,13
5CU1A,original,8020,13
5A9TA,predicted,1111,13
4Z49B,original,6962,13
5DLYA,predicted,53,13
5A5WA,original,9354,13
5A5WA,predicted,1915,13
4YCAB,predicted,195,13
5DOCB,original,130,13
5FRDA,predicted,217,13
5AYVA,predicted,2246,13
5C2MA,original,1213,13
5A9TA,original,9654,13
5FRDA,original,7781,13
5DLYA,original,645,13
4Y68A,original,1602,13
5E57A,original,6676,13
4Y68A,predicted,291,13
4YBNA,original,8381,13
5E53D,predicted,1214,13
4YG8A,original,2201,13
5C1EA,predicted,152,13
5DOCB,predicted,2,13
5B1HA,predicted,747,13
5FFQA,predicted,248,13
5B1HA,original,15427,13
5E57A,predicted,20,13
5EDFA,predicted,53,13
5DYNB,original,2727,13
5C1FA,predicted,35,13
5A0LA,original,439,13
5C2MA,predicted,14,13
5DYNB,predicted,16,13
5A8UA,predicted,26,13
5EGNA,predicted,895,13
5C1FA,original,1926,13
5A0LA,predicted,3,13
5FFQA,original,3414,13
5DYJA,original,4653,13
5EDFA,original,62,13
4YG8A,predicted,64,13
5BT9A,predicted,110,13
5EGNA,original,10421,13
4Z49B,predicted,616,13
5AA5A,predicted,1652,13
5CYLA,predicted,1332,13
5A8CA,original,12685,13
4XZ7B,predicted,115,13
5DBJC,original,11240,13
5A8CA,predicted,63,13
5B0RA,original,10424,13
5C1EA,original,10003,13
5AF7A,original,10029,13
5DBJC,predicted,4133,13
5AYVA,original,10966,13
5DP2A,predicted,854,13
5B0RA,predicted,237,13
4ZP0A,original,1837,13
5AZPA,predicted,1127,13
5E53D,original,6605,13
5D6OA,predicted,1040,13
5CIYA,predicted,413,13
5AZPA,original,10337,13
5D6OA,original,7824,13
5BRAA,predicted,85,13
5DQRB,original,1703,13
4ZWNA,original,1160,13
4ZP0A,predicted,10,13
5AEZA,original,13044,13
5BZZA,original,7980,13
4ZR8B,predicted,1460,13
5DP2A,original,12152,13
5A61A,predicted,56,13
5A61A,original,4491,13
4ZWNA,predicted,18,13
4ZFVA,original,10135,13
4ZR8B,original,18901,13
4YDDB,original,21753,13
4YDDB,predicted,1017,13
5AA5A,original,7086,13
5BZZA,predicted,244,13
4ZFVA,predicted,550,13
5BRAA,original,3283,13
5AEZA,predicted,21,13
5CIYA,original,15323,13
4XZ7B,original,1356,13
5DQRB,predicted,26,13
5CYLA,original,400,13
4YWEA,original,18535,13
4YWEA,predicted,3309,13
5DNKA,original,5774,13
5DNKA,predicted,1147,13
4YDDA,original,9062,13
4YDDA,predicted,296,13
