name,seq_type,num_of_seqs,batch_number
3DL3A,predicted,32,06
3B0DB,original,3179,06
3DGPB,original,1687,06
3CTRA,original,3222,06
3A5PA,predicted,3,06
3CS5A,predicted,2,06
3B5NA,original,8272,06
3BR8A,predicted,1441,06
3A5PA,original,10,06
3E7LA,original,8596,06
3A6RA,predicted,1070,06
3A1GB,original,44,06
3CTRA,predicted,1045,06
3BASA,predicted,2,06
3C3MA,predicted,1905,06
3BPJA,original,2608,06
3BPJA,predicted,2,06
3BS7A,predicted,1654,06
3A07A,original,11203,06
3CS5A,original,801,06
3B5NA,predicted,2,06
3DGPB,predicted,1167,06
3AEIA,predicted,2,06
3A4RA,original,4473,06
3BR8A,original,14167,06
3CXBB,predicted,457,06
3C57A,original,19475,06
3C57A,predicted,9357,06
3C3MA,original,13428,06
3AEIA,original,373,06
3BS7A,original,6893,06
3DMLA,predicted,138,06
3DL3A,original,1968,06
3AABA,predicted,2,06
3A1GB,predicted,2,06
3E7LA,predicted,2,06
3A4RA,predicted,1393,06
3BASA,original,1318,06
3B0DB,predicted,22,06
3AABA,original,6780,06
3CXBB,original,2704,06
3DMLA,original,3748,06
3C7MA,predicted,101,06
3CM3A,original,3983,06
3EFYA,predicted,107,06
3A07A,predicted,655,06
3A57A,original,61,06
3BZ6A,predicted,290,06
3BL4A,original,1652,06
3CRNA,predicted,1954,06
3BWZA,predicted,204,06
3BRNA,original,174,06
3CU3A,predicted,279,06
3C1LB,original,11583,06
3BL4A,predicted,10,06
3EEYA,predicted,2619,06
3D1PA,original,7621,06
3CWYA,original,27,06
3CYPC,original,8920,06
3BN3B,predicted,233,06
3D1PA,predicted,483,06
3CEBA,predicted,26,06
3CU3A,original,5857,06
3BVFA,predicted,270,06
3A6RA,original,2046,06
3CNBA,predicted,166,06
3CRYA,predicted,362,06
3BA3A,predicted,399,06
3A57A,predicted,2079,06
3BVFA,original,7206,06
3BA3A,original,392,06
3BRNA,predicted,90,06
3BZ6A,original,10541,06
3CYPC,predicted,57,06
3E0JB,original,2435,06
3DD7A,original,6601,06
3D9RA,predicted,11,06
3CZ5A,predicted,57,06
3AONA,original,5319,06
3DO8B,original,7271,06
3C6FA,original,9657,06
3CI3A,predicted,2,06
3CRYA,original,7893,06
3DO8B,predicted,2,06
3BWZA,original,856,06
3DD7A,predicted,74,06
3DKXA,predicted,21,06
3CWYA,predicted,101,06
3C6FA,predicted,2110,06
3EFYA,original,110,06
3CRNA,original,7294,06
3D9RA,original,3847,06
3CZ5A,original,13777,06
3E0JB,predicted,1148,06
3CM3A,predicted,153,06
3C1LB,predicted,93,06
3CNBA,original,8623,06
3BN3B,original,1337,06
3AONA,predicted,2,06
3CI3A,original,11383,06
3BF7A,predicted,102,06
3CEBA,original,2752,06
3DKRA,original,3108,06
3C7MA,original,2641,06
3CJIB,original,940,06
3E0RA,predicted,2,06
3EEYA,original,6946,06
3C18A,predicted,10,06
3CTLA,predicted,226,06
3A1JC,original,2306,06
3CUQA,predicted,20,06
3AYVA,predicted,182,06
3DNFA,original,11725,06
3CTKA,predicted,23,06
3DLSA,predicted,1307,06
3DKXA,original,796,06
3CJPA,original,1618,06
3EA0A,predicted,500,06
3BCZA,predicted,11,06
2Z7BA,predicted,173,06
3EA0A,original,4005,06
3DKRA,predicted,703,06
3CJPA,predicted,83,06
3CUQA,original,2628,06
3DAOA,predicted,404,06
3CTKA,original,523,06
3A1JC,predicted,4,06
2Z7BA,original,8353,06
3BE6A,predicted,342,06
3CH0A,predicted,574,06
3DZMA,original,141,06
3D7RA,predicted,159,06
3D03A,predicted,39,06
3CTLA,original,9288,06
3CJIB,predicted,17,06
3BF5A,original,2242,06
3DAOA,original,4727,06
3DZMA,predicted,38,06
3CH0A,original,10670,06
3DKQA,predicted,26,06
3DCDA,predicted,53,06
3EC4A,predicted,602,06
3D03A,original,6346,06
3AYVA,original,1930,06
3BF7A,original,7687,06
3DNFA,predicted,1431,06
3EC4A,original,9629,06
3DKQA,original,6400,06
3E0RA,original,483,06
3BF5A,predicted,14,06
3DLSA,original,11040,06
2ZOGA,original,12146,06
3C18A,original,997,06
3BMAA,predicted,45,06
3AXBA,predicted,1829,06
3BCZA,original,8287,06
2Z73A,predicted,2,06
3BWSA,predicted,47,06
3BE6A,original,1539,06
2ZOGA,predicted,445,06
2ZPUA,predicted,3601,06
2ZZMA,predicted,737,06
3DWCA,original,10058,06
3EAFA,original,1134,06
3A2BA,predicted,488,06
3AXBA,original,4803,06
3D7RA,original,2714,06
3DCDA,original,5316,06
3AJ7A,predicted,4258,06
2Z66A,predicted,638,06
2Z66A,original,7362,06
3CE9A,original,4454,06
3EAFA,predicted,143,06
3BWSA,original,1099,06
3A9SA,original,3282,06
2ZZMA,original,7246,06
3CK9B,original,4734,06
3CE9A,predicted,78,06
3EF6A,original,11537,06
3DYJA,predicted,7,06
3DWCA,predicted,65,06
3BMAA,original,1197,06
2Z73A,original,7174,06
2ZB4A,original,10174,06
3A2BA,original,12511,06
3EF6A,predicted,2709,06
3CRVA,predicted,51,06
3DYJA,original,1211,06
3CBWA,predicted,69,06
3A9SA,predicted,608,06
2ZPUA,original,14042,06
3CRVA,original,2562,06
3CBWA,original,6937,06
3CK9B,predicted,72,06
2ZB4A,predicted,537,06
3AJ7A,original,15815,06
3AHCA,original,11199,06
3AHCA,predicted,1351,06
3B34A,original,11912,06
3B34A,predicted,321,06
