name,seq_type,num_of_seqs,batch_number
6ICMD,original,10372,16
6FU9B,predicted,1340,16
6JIEA,original,823,16
6DS9A,original,4,16
6IN7A,predicted,2,16
6GD3A,predicted,6688,16
6IJEA,original,1218,16
6J4KA,original,8644,16
6IJEA,predicted,52,16
6H8OA,original,4415,16
6FU9B,original,27,16
6HTFA,predicted,49,16
6GJEB,predicted,2,16
6HIPA,original,9078,16
6GX9C,original,2,16
6J98A,original,229,16
6JIEA,predicted,2,16
6I31A,original,207,16
6ICMD,predicted,154,16
6I31A,predicted,2,16
6CUQA,predicted,2,16
6JY5B,predicted,225,16
6DS9A,predicted,2,16
6KOSA,original,6,16
6J4KA,predicted,2379,16
6EXZA,original,1801,16
6EXZA,predicted,2,16
6J98A,predicted,2,16
6G6KA,original,8193,16
6GJEB,original,493,16
6H8OA,predicted,412,16
6GD3A,original,10448,16
6EVNA,predicted,1048,16
6GX9C,predicted,2,16
6IN7A,original,7063,16
6JY5B,original,4920,16
6KOSA,predicted,2,16
6G6KA,predicted,2,16
6EVNA,original,5005,16
6HIPA,predicted,714,16
6EWMA,predicted,198,16
6HTFA,original,7608,16
6E20A,original,4899,16
6CKYA,original,10176,16
6D9NA,original,11459,16
6EHIA,original,4970,16
6C0YA,original,90,16
6JM5A,predicted,393,16
6JMKA,original,13710,16
6E20A,predicted,20,16
6EVSA,predicted,77,16
6C0YA,predicted,2,16
6KV2B,original,508,16
6G5PA,predicted,862,16
6IAIA,original,249,16
6IAIA,predicted,2,16
6JMKA,predicted,2063,16
6HLKA,predicted,2,16
6HAZA,original,7834,16
6I86A,predicted,28,16
6IFNC,original,1338,16
6HGOA,original,2214,16
6HLKA,original,4998,16
6ENSA,predicted,747,16
6HAZA,predicted,404,16
6JLEA,original,10732,16
6HGOA,predicted,168,16
6HT0A,predicted,1033,16
6JHWB,original,7517,16
6CUQA,original,1442,16
6CP8A,original,343,16
6I86A,original,103,16
6KJKA,predicted,33,16
6EHIA,predicted,83,16
6D4AA,original,4786,16
6JM5A,original,736,16
6IRPA,original,10230,16
6KV2B,predicted,8,16
6JK4A,original,6823,16
6KJKA,original,65,16
6CKYA,predicted,1785,16
6C3RA,original,2,16
6CP8A,predicted,91,16
6D4AA,predicted,288,16
6EVSA,original,2619,16
6JHWB,predicted,116,16
6G5PA,original,10002,16
6JK4A,predicted,200,16
6JLEA,predicted,6234,16
6C3RA,predicted,2,16
6GN5A,original,2330,16
6IFNC,predicted,2,16
6HT0A,original,4650,16
6IRPA,predicted,551,16
6D9NA,predicted,1559,16
6H17A,predicted,209,16
6GN5A,predicted,22,16
6K38A,predicted,744,16
6EWMA,original,1758,16
6J3HA,predicted,32,16
6GHTA,original,1767,16
6J5XA,predicted,545,16
6ENSA,original,10989,16
6IYXA,original,1654,16
6H17A,original,8394,16
6FMXA,predicted,2,16
6K6IA,original,3561,16
6H8RA,original,10695,16
6C29A,original,6216,16
6GHTA,predicted,62,16
6F8BA,original,11479,16
6FZZA,predicted,4,16
6FSNA,original,2369,16
6J67A,original,1354,16
6DEXB,original,128,16
6HYYA,predicted,1768,16
6C29A,predicted,423,16
6G4JA,predicted,137,16
6ITWA,original,286,16
6HF1A,predicted,6,16
6J3HA,original,3146,16
6F8BA,predicted,18,16
6E2HD,original,6463,16
6H8RA,predicted,249,16
6HYYA,original,9304,16
6ITWA,predicted,107,16
6K38A,original,3260,16
6J67A,predicted,202,16
6CYYA,predicted,35,16
6IYXA,predicted,109,16
6DEXB,predicted,90,16
6K63A,original,9270,16
6HF1A,original,8841,16
6K6IA,predicted,2,16
6K63A,predicted,314,16
6D3VA,original,1243,16
6FZZA,original,301,16
6CYYA,original,3996,16
6D3VA,predicted,84,16
6FSNA,predicted,76,16
6FMXA,original,8838,16
6J5XA,original,14053,16
6G4JA,original,1975,16
6E2HD,predicted,1360,16
6DGIA,predicted,113,16
6FIYA,original,7295,16
6FIYA,predicted,36,16
6K5GA,original,2152,16
6K5GA,predicted,563,16
6ILSA,original,9766,16
6ILSA,predicted,562,16
6C33A,original,11826,16
6C33A,predicted,1806,16
6K9CA,predicted,6,16
6JKUA,original,9399,16
6GRRB,predicted,192,16
6DGIA,original,8543,16
6CCAA,original,8350,16
6FCGA,original,2290,16
6EWJA,predicted,1208,16
6I1AA,predicted,34,16
6J38A,predicted,939,16
6I3QA,predicted,152,16
6I3QA,original,787,16
6GOCA,original,4707,16
6HXQA,original,11193,16
6KJCA,original,9472,16
6I9AA,original,2445,16
6FCGA,predicted,263,16
6K9CA,original,766,16
6GOCA,predicted,50,16
6D25A,predicted,513,16
6HZHB,predicted,196,16
6KJCA,predicted,173,16
6I1AA,original,1391,16
6C62A,predicted,489,16
6HXAA,original,288,16
6JX5A,predicted,249,16
6HXQA,predicted,863,16
6JX5A,original,11004,16
6JKUA,predicted,214,16
6H5LA,original,3009,16
6JTDA,predicted,62,16
6FM7A,original,5702,16
6C62A,original,14015,16
6FM7A,predicted,155,16
6J38A,original,11721,16
6HXAA,predicted,42,16
6H5LA,predicted,8,16
6EWJA,original,12122,16
6D2YA,original,650,16
6I9AA,predicted,89,16
6HZHB,original,8750,16
6D2YA,predicted,22,16
6JTDA,original,7598,16
6CCAA,predicted,14,16
6D25A,original,9217,16
6GRRB,original,9359,16
6JR7A,original,14619,16
6JR7A,predicted,313,16
