name,seq_type,num_of_seqs,batch_number
7E15C,predicted,2,18
7BJSC,predicted,2,18
6X1PA,predicted,6499,18
7NESA,original,11267,18
7F2RB,predicted,486,18
6ZEGC,original,2491,18
6VG5A,predicted,167,18
7COHK,original,734,18
7BJSC,original,4631,18
6Y2DD,predicted,6350,18
7D34A,original,8668,18
6VG5A,original,228,18
7A2SA,original,10464,18
7A2SA,predicted,2001,18
7DTLA,predicted,2,18
7BZKB,predicted,6558,18
6Z9UC,predicted,2,18
7CNWB,original,183,18
7LVSF,original,1366,18
6YGAC,original,4159,18
6Y2DD,original,9891,18
7D2EA,predicted,2,18
6XQKA,original,2254,18
7D2EA,original,1240,18
6ZEGC,predicted,2,18
6X1PA,original,10502,18
6XQKA,predicted,2,18
7DTLA,original,1486,18
7COHK,predicted,2,18
7NETA,original,15246,18
7NETA,predicted,5673,18
7LVSF,predicted,2,18
7NESA,predicted,5672,18
6U54B,predicted,27,18
7CNWB,predicted,2,18
7F2RB,original,6896,18
7D34A,predicted,1706,18
7E15C,original,88,18
6U54B,original,27,18
6Z9UC,original,5205,18
6VMEE,predicted,297,18
6YGAC,predicted,2,18
7KFKC,predicted,5,18
7RJJA,predicted,177,18
6VK5D,predicted,2,18
7AE6A,predicted,71,18
7ET5A,original,15336,18
7JOOC,original,729,18
7E90A,original,17761,18
6WK3A,original,7138,18
6SMKA,original,14079,18
6Z4AA,predicted,2,18
7ET5A,predicted,2608,18
7CZEB,original,65,18
7ASIA,predicted,641,18
7M5FC,original,1328,18
7RJJA,original,15288,18
7NBIA,predicted,2,18
6TYYA,predicted,612,18
7CBYC,original,12087,18
7DKZL,predicted,468,18
6UUIC,predicted,2,18
7BWKE,original,11,18
7CBYC,predicted,3675,18
6UUIC,original,8982,18
7CZEB,predicted,2,18
7BWKE,predicted,2,18
6YAVA,predicted,592,18
7KFKC,original,186,18
6U1PA,original,8992,18
6YIGA,original,7176,18
7KLDB,predicted,33,18
7ASIA,original,3296,18
7EDRC,predicted,2,18
6ZSIC,predicted,2,18
6YIGA,predicted,7727,18
6SMKA,predicted,85,18
6VMEE,original,2417,18
7NBIA,original,362,18
7NQ6A,predicted,925,18
6VK5D,original,386,18
7AE6A,original,1962,18
7BZKB,original,9981,18
6V4BA,predicted,36,18
6WK3A,predicted,104,18
6ZSIC,original,3045,18
7CRVA,original,1512,18
7JOOC,predicted,2,18
7M5IA,predicted,307,18
7CRVA,predicted,24,18
7KLDB,original,3522,18
6YAVA,original,7702,18
7EDRC,original,1316,18
6TYYA,original,4819,18
7E90A,predicted,2931,18
7M5FC,predicted,553,18
6Z4AA,original,1546,18
6U1PA,predicted,210,18
6TD9A,original,1128,18
7DKZL,original,1782,18
7NQ6A,original,4779,18
6THOA,original,4721,18
7DNPA,original,9354,18
7KB2A,original,2154,18
6VOQA,predicted,1322,18
6THOA,predicted,242,18
6V4BA,original,786,18
7CRAA,original,9515,18
6V45A,predicted,639,18
7C82A,original,13437,18
7LUYA,original,15113,18
6T5KC,original,3692,18
6WXOA,original,31,18
6WXOA,predicted,26,18
6W6BA,original,8012,18
7M5IA,original,10224,18
6Y43A,original,13878,18
6TABA,predicted,20,18
7DKZ3,original,8075,18
7MPDA,original,7588,18
6VOQA,original,9536,18
6TD9A,predicted,127,18
7RAGB,original,13795,18
7LUYA,predicted,2033,18
6T5KC,predicted,157,18
6YXQA,original,255,18
7C82A,predicted,1002,18
6WP9A,original,8560,18
6W6BA,predicted,533,18
7BR1A,original,19,18
7D53A,predicted,570,18
7JODI,original,879,18
7D53A,original,11265,18
7KB2A,predicted,133,18
7CRAA,predicted,748,18
6WP9A,predicted,2552,18
7NPCA,original,3566,18
7MPDA,predicted,518,18
6T6HA,predicted,277,18
7DNPA,predicted,636,18
6TABA,original,1691,18
6V45A,original,14294,18
6T6HA,original,1271,18
6YXQA,predicted,149,18
7BR1A,predicted,217,18
7JODI,predicted,2458,18
6ZG3D,predicted,39,18
6Y43A,predicted,611,18
7RAGB,predicted,348,18
7DKZ3,predicted,298,18
7NPCA,predicted,149,18
6TJ2A,original,4725,18
6TJ2A,predicted,321,18
7JXUA,predicted,696,18
7C1EA,predicted,75,18
6X1ZA,original,4131,18
6ZG3D,original,5759,18
6Y4JA,original,4509,18
6UQVA,predicted,279,18
7NE2A,predicted,262,18
7AACA,predicted,355,18
6TJ0A,predicted,15,18
7BFUA,original,10355,18
7BFUA,predicted,800,18
7K44A,original,1116,18
7BR0A,original,5132,18
6VY4B,predicted,10,18
7NE2A,original,3149,18
7D9EA,predicted,7099,18
7RK0A,original,8057,18
7JV7B,original,214,18
6WJAA,original,15741,18
6Y4JA,predicted,216,18
6UQVA,original,4155,18
7JQHA,predicted,379,18
6X1ZA,predicted,346,18
7DRGB,predicted,17,18
6WJAA,predicted,764,18
6VBCA,predicted,1100,18
