name,seq_type,num_of_seqs,batch_number
5HOKA,predicted,2,14
5MUZA,original,73,14
5HALA,original,827,14
5IP4D,original,3902,14
5H1NA,original,356,14
5OL9A,original,6080,14
5OL9A,predicted,678,14
5LSID,predicted,214,14
5JDKA,predicted,14,14
5JDKA,original,9,14
5INBB,original,1088,14
5NFMA,original,12082,14
5NMOB,predicted,224,14
5J6PA,predicted,435,14
5MUZA,predicted,73,14
5MPOA,predicted,150,14
5NOHA,predicted,2,14
5HOBA,original,1073,14
5MPOA,original,7186,14
5HOBA,predicted,2,14
5LSID,original,447,14
5GROA,predicted,1475,14
5N5FA,original,4186,14
5H1NA,predicted,2,14
5HZPA,original,48,14
5HZPA,predicted,2,14
5NFMA,predicted,3012,14
5IP4D,predicted,18,14
5GROA,original,13585,14
5J6PA,original,1199,14
5N5FA,predicted,2,14
5GJIA,original,8934,14
5INBB,predicted,2,14
5J7MA,original,3466,14
5HOKA,original,2332,14
5JUHA,predicted,1319,14
5HT6B,predicted,266,14
5NOHA,original,32,14
5HT6B,original,8543,14
5HALA,predicted,140,14
5JUHA,original,16386,14
5MKWA,original,9394,14
5GJIA,predicted,377,14
5MKWA,predicted,617,14
5G1SG,predicted,6835,14
5IVAB,predicted,2,14
5M45C,original,1701,14
5GL6A,original,8120,14
5JMUA,predicted,1785,14
5J7MA,predicted,349,14
5J37A,original,315,14
5NKQA,original,11973,14
5LE5J,original,3457,14
5JYSA,predicted,2183,14
5NUPD,original,9835,14
5HNOB,original,127,14
5I8TA,original,9171,14
5NKQA,predicted,2,14
5IVAB,original,2841,14
5MU3B,original,17,14
5JI7A,predicted,1095,14
5NI9A,original,6099,14
5LU5A,original,14037,14
5H5FA,predicted,77,14
5LPIA,original,4189,14
5I29A,original,7680,14
5JYSA,original,13656,14
5QOQA,predicted,1686,14
5H9NA,predicted,256,14
5M45C,predicted,286,14
5GL6A,predicted,103,14
5LPIA,predicted,513,14
5I29A,predicted,1119,14
5IFSA,predicted,52,14
5M9NA,original,6353,14
5II8A,original,70,14
5I8TA,predicted,124,14
5H9NA,original,951,14
5M9NA,predicted,32,14
5II8A,predicted,2,14
5J37A,predicted,25,14
5QOQA,original,8611,14
5LU5A,predicted,2269,14
5G1SG,original,17342,14
5NUPD,predicted,2,14
5NMOB,original,2845,14
5IFSA,original,4233,14
5LE5J,predicted,3,14
5MU3B,predicted,2,14
5NI9A,predicted,343,14
5HNOB,predicted,2,14
5JI7A,original,10627,14
5LHFA,original,10129,14
5MX9A,predicted,46,14
5LHFA,predicted,770,14
5H2GA,predicted,1214,14
5GZYA,predicted,49,14
5JENA,original,2156,14
5GTQA,original,8719,14
5JENA,predicted,2,14
5GM1A,original,11023,14
5GJ9A,predicted,839,14
5NLCA,original,16779,14
5NENA,predicted,32,14
5GM1A,predicted,563,14
5NLCA,predicted,190,14
5L9SA,predicted,113,14
5JMUA,original,11342,14
5H2GA,original,11014,14
5H5FA,original,1591,14
5K7XA,predicted,1273,14
5H8IB,predicted,118,14
5N77A,original,3121,14
5HAMA,original,144,14
5N29A,original,14249,14
5GV8A,original,12547,14
5HQWA,original,12502,14
5H8IB,original,15249,14
5LSVA,original,1616,14
5GIZA,predicted,1434,14
5HQWA,predicted,339,14
5IGIA,predicted,42,14
5JELA,predicted,154,14
5LTXA,original,9112,14
5NJLA,original,46,14
5LSVA,predicted,62,14
5NGGA,predicted,1543,14
5K7XA,original,13271,14
5GJ9A,original,10972,14
5NJLA,predicted,73,14
5NXKA,predicted,58,14
5JELA,original,987,14
5N77A,predicted,31,14
5IGIA,original,2060,14
5GIZA,original,7710,14
5GV8A,predicted,1640,14
5GZYA,original,681,14
5NXKA,original,306,14
5HAMA,predicted,8,14
5N29A,predicted,382,14
5LTXA,predicted,208,14
5HT2B,original,3328,14
5HT2B,predicted,498,14
5GTQA,predicted,15,14
5NENA,original,10486,14
5NGGA,original,10497,14
5JGYA,original,14394,14
5JGYA,predicted,737,14
5IZ3A,original,8328,14
5IZ3A,predicted,115,14
5IX8A,original,362,14
5IX8A,predicted,85,14
5MX9A,original,5053,14
5O9XA,original,4559,14
5L9SA,original,5105,14
5LY3A,predicted,34,14
5INRA,original,3876,14
5MDRA,original,845,14
5HLBA,predicted,120,14
5OQ3A,original,13981,14
5K7AA,original,12845,14
5NZGA,original,5765,14
5LWXA,original,12236,14
5MDRA,predicted,139,14
5O9XA,predicted,222,14
5I81A,original,6617,14
5NZ7A,predicted,12,14
5OKBA,predicted,3452,14
5I81A,predicted,136,14
5IK4A,predicted,244,14
5NCBA,original,7533,14
5L8SA,predicted,56,14
5INRA,predicted,428,14
5OARB,predicted,8,14
5LIAA,original,11802,14
5FVNA,original,2904,14
5M8SA,original,3824,14
5LY3A,original,275,14
5IK4A,original,2991,14
5M8SA,predicted,1624,14
5OARB,original,10867,14
5LTJA,predicted,1772,14
5NCBA,predicted,539,14
5MGWA,predicted,1023,14
5K7AA,predicted,647,14
5FVNA,predicted,155,14
5L8SA,original,6932,14
5MGWA,original,12801,14
5NZGA,predicted,502,14
5HLBA,original,16652,14
5OQ3A,predicted,918,14
5IWSA,original,7454,14
5OKBA,original,19472,14
5L9ZA,original,3645,14
5L9ZA,predicted,128,14
5LWXA,predicted,236,14
5IWSA,predicted,51,14
5LTJA,original,21584,14
5LIAA,predicted,49,14
5NZ7A,original,718,14
